City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bluff,NZ,2021-05-27 02:28:29,-46.6,168.3333,49.8,69,100,13.44
68,Georgetown,MY,2021-05-27 02:25:33,5.4112,100.3354,78.75,95,40,3.44
69,Nouakchott,MR,2021-05-27 02:25:01,18.0858,-15.9785,69.73,80,2,17.22
70,Sai Buri,TH,2021-05-27 02:28:30,6.7013,101.6168,85.82,75,100,6.06
71,Santa Rosalia,MX,2021-05-27 02:28:30,27.3167,-112.2833,82.18,29,100,7.56
72,Evensk,RU,2021-05-27 02:28:31,61.95,159.2333,40.19,96,100,15.93
73,Novyy Urgal,RU,2021-05-27 02:28:31,51.0736,132.5642,58.03,53,100,1.25
74,Opuwo,NA,2021-05-27 02:28:32,-18.0607,13.84,58.33,40,0,7.47
75,Luderitz,NA,2021-05-27 02:28:32,-26.6481,15.1594,61.77,69,56,5.75
76,Emerald,AU,2021-05-27 02:28:32,-23.5333,148.1667,77.14,36,0,14.97
77,Pisco,PE,2021-05-27 02:24:03,-13.7,-76.2167,65.01,94,75,5.75
78,Bosaso,SO,2021-05-27 02:28:33,11.2842,49.1816,87.91,47,76,13.4
79,Morondava,MG,2021-05-27 02:28:33,-20.2833,44.2833,66.33,89,2,7.7
80,Humaita,BR,2021-05-27 02:28:33,-7.5061,-63.0208,80.1,64,99,2.84
81,Jega,NG,2021-05-27 02:28:34,12.2175,4.3792,91.22,31,7,10.0
82,Cairns,AU,2021-05-27 02:28:34,-16.9167,145.7667,82.11,60,90,12.66
83,Mwinilunga,ZM,2021-05-27 02:28:35,-11.7358,24.4293,49.08,70,0,3.38
84,Mikuni,JP,2021-05-27 02:28:35,36.2171,136.1519,57.11,94,100,7.7
85,Ribeira Grande,PT,2021-05-27 02:28:35,38.5167,-28.7,59.54,68,92,13.62
86,Daru,PG,2021-05-27 02:28:36,-9.0763,143.2092,80.98,73,99,13.47
87,Faanui,PF,2021-05-27 02:27:52,-16.4833,-151.75,81.64,69,18,11.52
88,Avera,US,2021-05-27 02:28:36,33.194,-82.5271,81.72,47,87,8.5
89,Srednekolymsk,RU,2021-05-27 02:28:37,67.45,153.6833,63.73,33,94,15.43
90,Katsuura,JP,2021-05-27 02:28:37,35.1333,140.3,62.15,94,100,10.71
91,Roanoke Rapids,US,2021-05-27 02:26:05,36.4615,-77.6542,80.55,88,1,2.77
92,Trairi,BR,2021-05-27 02:25:47,-3.2778,-39.2689,78.55,84,54,9.48
93,Ponta Delgada,PT,2021-05-27 02:28:37,37.7333,-25.6667,59.72,82,40,11.5
94,Chokurdakh,RU,2021-05-27 02:28:38,70.6333,147.9167,44.6,69,29,10.25
95,Horta,PT,2021-05-27 02:28:38,38.5333,-28.6333,58.64,69,94,12.71
96,Bambous Virieux,MU,2021-05-27 02:28:38,-20.3428,57.7575,71.85,94,75,4.59
97,Kavaratti,IN,2021-05-27 02:28:39,10.5669,72.642,83.21,75,100,14.97
98,Zeya,RU,2021-05-27 02:28:39,53.75,127.2667,53.74,53,100,1.92
99,Aklavik,CA,2021-05-27 02:28:40,68.2191,-135.0107,34.52,56,100,10.11
100,Hofn,IS,2021-05-27 02:28:40,64.2539,-15.2082,42.58,80,77,3.42
101,Saint-Philippe,RE,2021-05-27 02:24:07,-21.3585,55.7679,69.39,83,19,2.21
102,Busselton,AU,2021-05-27 02:28:40,-33.65,115.3333,61.05,63,100,17.05
103,Dogondoutchi,NE,2021-05-27 02:28:41,13.6393,4.0287,94.26,18,64,6.71
104,Fairbanks,US,2021-05-27 02:28:41,64.8378,-147.7164,66.6,32,90,8.05
105,Chkalovskoye,RU,2021-05-27 02:28:42,44.8392,133.0436,63.55,52,100,2.62
106,Tagusao,PH,2021-05-27 02:28:42,9.1924,117.8141,82.4,76,100,3.56
107,Mackay,AU,2021-05-27 02:28:42,-21.15,149.2,83.68,60,4,10.36
108,Tchibanga,GA,2021-05-27 02:28:43,-2.85,11.0333,72.16,99,99,1.32
109,Kawalu,ID,2021-05-27 02:28:43,-7.3817,108.2082,83.75,62,75,4.16
110,Mega,ET,2021-05-27 02:28:43,4.05,38.3,57.33,85,100,15.66
111,Weslaco,US,2021-05-27 02:26:06,26.1595,-97.9908,83.21,72,75,8.05
112,Farafangana,MG,2021-05-27 02:28:44,-22.8167,47.8333,65.01,91,6,6.04
113,Talnakh,RU,2021-05-27 02:28:44,69.4865,88.3972,24.3,88,54,3.18
114,Meulaboh,ID,2021-05-27 02:28:45,4.1363,96.1285,78.06,85,100,9.26
115,Udachnyy,RU,2021-05-27 02:24:13,66.4167,112.4,56.59,41,100,8.93
116,Kaitangata,NZ,2021-05-27 02:27:58,-46.2817,169.8464,49.24,49,100,3.04
117,Bengkulu,ID,2021-05-27 02:28:45,-3.8004,102.2655,85.06,65,45,2.95
118,Chino Valley,US,2021-05-27 02:28:45,34.7575,-112.4538,77.16,13,1,1.99
119,Hermanus,ZA,2021-05-27 02:24:07,-34.4187,19.2345,55.9,73,100,5.06
120,Yellowknife,CA,2021-05-27 02:26:55,62.456,-114.3525,50.56,32,90,4.0
121,Geraldton,AU,2021-05-27 02:28:46,-28.7667,114.6,70.12,32,97,12.73
122,Torbay,CA,2021-05-27 02:26:11,47.6666,-52.7314,50.77,93,90,16.11
123,Puerto Escondido,MX,2021-05-27 02:28:47,15.85,-97.0667,85.03,70,90,0.0
124,Sayyan,YE,2021-05-27 02:28:47,15.1718,44.3244,61.77,21,18,5.97
125,Ambon,ID,2021-05-27 02:28:47,-3.6954,128.1814,86.14,74,40,15.88
126,Soyo,AO,2021-05-27 02:28:10,-6.1349,12.3689,76.05,91,33,5.44
127,Longyearbyen,SJ,2021-05-27 02:28:48,78.2186,15.6401,33.64,80,75,14.97
128,Port-Gentil,GA,2021-05-27 02:28:48,-0.7193,8.7815,79.11,85,100,12.35
129,Provideniya,RU,2021-05-27 02:24:08,64.3833,-173.3,46.51,49,0,20.13
130,Muret,FR,2021-05-27 02:28:49,43.3333,1.25,54.41,93,67,1.01
131,Lata,PT,2021-05-27 02:28:49,40.1629,-8.3327,59.72,88,75,1.43
132,Atar,MR,2021-05-27 02:28:49,20.5169,-13.0499,83.03,20,0,8.28
133,East London,ZA,2021-05-27 02:28:50,-33.0153,27.9116,63.9,89,68,8.55
134,Vila Velha,BR,2021-05-27 02:26:28,-20.3297,-40.2925,73.35,92,40,4.0
135,Ahuimanu,US,2021-05-27 02:28:50,21.4447,-157.8378,83.34,67,1,6.91
136,Hervey Bay,AU,2021-05-27 02:24:14,-25.2986,152.8535,77.11,55,3,4.0
137,Carnarvon,AU,2021-05-27 02:27:24,-24.8667,113.6333,75.27,38,0,12.66
138,Maceio,BR,2021-05-27 02:28:51,-9.6658,-35.7353,74.64,94,40,9.48
139,Tezu,IN,2021-05-27 02:28:51,27.9167,96.1667,75.9,99,100,0.89
